County,PQIDescription,RiskAdjRate_mean,ObsRate_mean,years_count,CtyPQIRate,CtyPhyRate,StPQIRate,StPhyRate,CtyMeanLengthStay,StMeanLengthStay,PQIRateComp,PhySupplyRateComp,z_risk,z_phys,priority_score
Orange,Heart Failure,270.43999999999994,224.21999999999997,5,250.6,178.1,353.7,161.2,4.8,4.9,Low,High,0.25552694001009657,0.31448846485883386,-0.05896152484873729
Orange,Hypertension,41.339999999999996,29.68,5,32.7,177.6,49.0,161.5,2.8,3.0,Low,High,-0.6060042541561677,0.3098394193110776,-0.9158436734672453
Orange,Lower-Extremity Amputation (Diabetes),31.32,25.660000000000004,5,,,,,,,,,-0.6436844923296552,,
Orange,Overall Composite,752.7,592.5,5,,,,,,,,,2.0690670259927364,,
Orange,Uncontrolled Diabetes,30.339999999999996,22.419999999999998,5,,,,,,,,,-0.6473697850851459,,
Orange,Urinary Tract Infection,82.2,65.6,5,76.7,160.5,84.4,140.1,3.5,3.7,Low,High,-0.45235010926907226,0.15084206157781477,-0.603192170846887
Placer,Acute Composite,163.3,137.9,5,,,,,,,,,-0.147373331238151,,
Placer,Asthma in Younger Adults (Age 18-39),20.06,11.940000000000001,5,14.3,581.8,16.0,351.2,2.9,2.5,Low,High,-0.686027753989682,4.06812784011721,-4.7541555941068925
Placer,COPD or Asthma in Older Adults (Age 40+),142.82,83.14,5,87.3,267.1,134.7,232.4,3.5,3.9,Low,High,-0.22438842882228507,1.1420185723594423,-1.3664070011817273
Placer,Chronic Composite,666.36,493.38,5,,,,,,,,,1.7443852132283746,,
Placer,Community-Acquired Pneumonia,93.03999999999999,70.46000000000001,5,85.4,175.8,88.5,133.3,3.8,4.5,Low,High,-0.4115862587899701,0.29310285533915537,-0.7046891141291255
Placer,Diabetes Composite,209.21999999999997,136.32,5,154.9,198.3,223.4,147.8,5.6,5.6,Low,High,0.02530895787627427,0.5023099049881855,-0.4770009471119112
Placer,Diabetes Long-term Complications,85.4,59.1,5,,,,,,,,,-0.4403165002715513,,
Placer,Diabetes Short-term Complications,80.12,45.12,5,,,,,,,,,-0.46017195511746084,,
