County,PQIDescription,RiskAdjRate_mean,ObsRate_mean,years_count,CtyPQIRate,CtyPhyRate,StPQIRate,StPhyRate,CtyMeanLengthStay,StMeanLengthStay,PQIRateComp,PhySupplyRateComp,z_risk,z_phys,priority_score,quadrant
Mendocino,Community-Acquired Pneumonia,102.97999999999999,140.6,5,144.5,90.5,88.5,133.3,4.1,4.5,High,Low,-0.37420686084142074,-0.5000243151080568,0.12581745426663604,01
Mendocino,Diabetes Composite,149.52,196.7,5,195.5,99.6,223.4,147.8,5.5,5.6,Low,Low,-0.19919305998372555,-0.4154116861388935,0.21621862615516796,01
Mendocino,Heart Failure,246.11999999999998,341.88,5,429.3,128.2,353.7,161.2,4.6,4.9,High,Low,0.16407151162893757,-0.1494862808072375,0.3135577924361751,11
Mendocino,Hypertension,20.64,26.96,5,39.7,130.0,49.0,161.5,3.3,3.0,Low,Low,-0.6838466623588814,-0.13274971683531497,-0.5510969455235664,01
Mendocino,Urinary Tract Infection,75.28,95.88,5,75.1,101.8,84.4,140.1,3.4,3.7,Low,Low,-0.4783727887262113,-0.3949558857287661,-0.0834169029974452,01
Merced,Asthma in Younger Adults (Age 18-39),14.0,14.2,5,15.8,113.3,16.0,351.2,2.7,2.5,Low,Low,-0.7088164010287372,-0.2880278381303729,-0.4207885628983643,01
Merced,COPD or Asthma in Older Adults (Age 40+),190.02,186.74,5,173.6,94.3,134.7,232.4,3.7,3.9,High,Low,-0.046892696108851196,-0.4646915689451095,0.4177988728362583,01
Merced,Community-Acquired Pneumonia,145.44,136.2,5,149.3,52.0,88.5,133.3,4.4,4.5,High,Low,-0.21453591145556478,-0.8580008222852862,0.6434649108297215,01
Merced,Diabetes Composite,278.12,334.3,5,331.1,57.0,223.4,147.8,5.9,5.6,High,Low,0.284407601604147,-0.8115103668077239,1.095917968411871,11
Merced,Heart Failure,450.43999999999994,435.76000000000005,5,455.9,57.8,353.7,161.2,4.7,4.9,High,Low,0.9324174461206493,-0.804071893931314,1.7364893400519632,11
Merced,Hypertension,51.08,56.839999999999996,5,49.8,60.3,49.0,161.5,2.6,3.0,High,Low,-0.5693769567699635,-0.7808266661925328,0.21144970942256935,01
Merced,Urinary Tract Infection,90.96000000000001,81.88,5,87.1,57.6,84.4,140.1,3.7,3.7,High,Low,-0.41940810463835865,-0.8059315121504165,0.3865234075120578,01
Modoc,Asthma in Younger Adults (Age 18-39),8.68,11.08,5,0.0,572.8,16.0,351.2,0.0,2.5,Low,High,-0.7288222759871157,3.984445020257598,-4.713267296244713,00
Modoc,COPD or Asthma in Older Adults (Age 40+),170.48,248.56,5,388.7,196.0,134.7,232.4,4.1,3.9,High,Low,-0.12037292104996349,0.4809242954685068,-0.6012972165184702,00
Modoc,Community-Acquired Pneumonia,168.54000000000002,296.12,5,318.6,146.1,88.5,133.3,4.0,4.5,High,High,-0.12766829650471043,0.01694954980243542,-0.14461784630714586,00
Modoc,Diabetes Composite,84.66,134.8,5,57.9,146.1,223.4,147.8,2.5,5.6,Low,Low,-0.44309927235222807,0.01694954980243542,-0.4600488221546635,00
Modoc,Heart Failure,110.02000000000001,207.0,5,159.3,197.2,353.7,161.2,4.7,4.9,Low,High,-0.3477329210468746,0.4920820047831216,-0.8398149258299962,00
Modoc,Hypertension,15.219999999999999,25.839999999999996,5,14.5,197.2,49.0,161.5,3.0,3.0,Low,High,-0.7042285875984323,0.4920820047831216,-1.196310592381554,00
Modoc,Urinary Tract Infection,115.35999999999999,196.08,5,318.6,146.1,84.4,140.1,4.9,3.7,High,High,-0.3276518360322616,0.01694954980243542,-0.344601385834697,00
Mono,Asthma in Younger Adults (Age 18-39),21.02,14.84,5,25.6,344.5,16.0,351.2,5.0,2.5,High,Low,-0.6824176712904256,1.8616908231521057,-2.5441084944425314,00
Mono,COPD or Asthma in Older Adults (Age 40+),63.8,40.225,5,14.5,194.6,134.7,232.4,2.0,3.9,Low,Low,-0.5215433610048176,0.46790696793478925,-0.9894503289396068,00
Mono,Community-Acquired Pneumonia,50.519999999999996,38.739999999999995,5,46.3,97.6,88.5,133.3,4.4,4.5,Low,Low,-0.5714828383445296,-0.43400786832991844,-0.13747497001461118,01
Mono,Diabetes Composite,111.3,96.02000000000001,5,64.8,83.3,223.4,147.8,3.7,5.6,Low,Low,-0.34291947744786627,-0.5669705709957464,0.22405109354788016,01
Mono,Heart Failure,103.2,84.64,5,64.8,178.6,353.7,161.2,3.9,4.9,Low,High,-0.37337955022284114,0.31913751040659005,-0.6925170606294312,00
Mono,Hypertension,5.14,3.7,5,18.5,178.6,49.0,161.5,2.0,3.0,Low,High,-0.7421344559406233,0.31913751040659005,-1.0612719663472134,00
Mono,Urinary Tract Infection,72.1,51.64,5,64.8,109.4,84.4,140.1,2.4,3.7,Low,Low,-0.4903311876674977,-0.3242903934028714,-0.1660407942646263,01
Monterey,Asthma in Younger Adults (Age 18-39),23.700000000000003,20.46,5,24.1,292.1,16.0,351.2,2.4,2.5,High,Low,-0.6723395237550019,1.3744708497472535,-2.0468103735022556,00
Monterey,COPD or Asthma in Older Adults (Age 40+),151.28,125.24000000000001,5,132.1,197.3,134.7,232.4,3.3,3.9,Low,Low,-0.19257457503508907,0.49301181389267307,-0.6855863889277621,00
Monterey,Community-Acquired Pneumonia,101.12,89.22,5,109.0,115.6,88.5,133.3,4.2,4.5,High,Low,-0.3812013960712297,-0.2666422286106943,-0.1145591674605354,01
Monterey,Diabetes Composite,234.21999999999997,215.24,5,242.0,127.0,223.4,147.8,5.2,5.6,High,Low,0.11932152816940658,-0.16064399012185232,0.27996551829125893,11
Monterey,Heart Failure,394.65999999999997,329.94,5,374.1,143.1,353.7,161.2,4.5,4.9,High,Low,0.7226565992826125,-0.01094472348410193,0.7336013227667144,11
Monterey,Hypertension,51.86,45.58,5,49.5,141.4,49.0,161.5,2.5,3.0,High,Low,-0.5664437645768176,-0.02675147834647299,-0.5396922862303446,01
Monterey,Urinary Tract Infection,132.76,111.38,5,125.2,122.2,84.4,140.1,3.7,3.7,High,Low,-0.2622190871082415,-0.20527482738031208,-0.05694425972792941,01
Napa,Asthma in Younger Adults (Age 18-39),8.899999999999999,6.2250000000000005,5,11.3,415.1,16.0,351.2,1.8,2.5,Low,High,-0.7279949653685361,2.518136054495285,-3.246131019863821,00
Napa,COPD or Asthma in Older Adults (Age 40+),104.52000000000001,70.72,5,80.0,202.0,134.7,232.4,3.5,3.9,Low,Low,-0.3684156865113637,0.5367128420415814,-0.9051285285529451,00
